cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no_lab,dsp_pedon,sand_pct,silt_pct,clay_pct_lab,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,hzdesg,hrzdep_t,hrzdep_b,layerdes_id,layer_no_field,field_texture,coarse_frag_volume,clay_pct_field,color_moist_hue,color_moist_value,color_moist_chroma,color_dry_hue,color_dry_value,color_dry_chroma,depletions_knd,depletions_col_h,depletions_col_v,depletions_col_c,ped_surf_feat_knd,ped_surf_feat_amt,ped_surf_feat_loc,conc_knd,conc_qty,conc_size,conc_cont,conc_col_h,conc_col_v,conc_col_c,conc_mst,conc_shp,conc_loc,structure_grade,structure_size,structure_type,consistence_rup_res_mst,consistence_rup_res_dry,consistence_stk,consistence_pls,roots_qty1,roots_sz1,roots_qty2,roots_sz2,roots_qty3,roots_sz3,roots_loc,pores_qty1,pores_sz1,pores_qty2,pores_sz2,pores_qty3,pores_sz3,pores_shp,roots_qty4,roots_sz4,roots_qty5,roots_sz5,pores_qty4,pores_sz4,pores_qty5,pores_sz5,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz
649,PGL7-7b-1,PGL7-7b,1,PCFS1-PGL7b,NA,NA,NA,,0.79,22.2,2.5639,NA,0.19258,48.93,2.124967207,NA,0.52,7.85,7.2376,24.3,0.31,6.93,233.9,47.69067865,4.810418705,-0.22845737,43.97490066,9.964207566,12.1273293,510.1006634,NA,NA,NA,NA,,,Ap1a,0,5,545,1,SIL,NA,NA,10YR,2,2,10YR,4,2,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,1,F,0.5,M,,4,VF,2,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,PGL7,81,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,PCF,WashingtonState,Palouse,A,0.79,2.5639,0,5,1,10.127405
656,PGL7-7c-1,PGL7-7c,1,PCFS1-PGL7c,NA,NA,NA,,1.02,21.9,2.8044,NA,0.19955,53.13,25.48325316,NA,6.27,15.15,11.518,21.2,0.91,7.33,233.9,73.60387196,0.836114488,-0.779022819,5.281708076,16.84728079,5.182728547,447.6268794,NA,NA,NA,NA,,,Ap1a,0,5,546,1,SIL,NA,NA,10YR,2,2,10YR,4,2,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,3,VF,5,F,NA,,,3,VF,2,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,PGL7,81,Ref - CRP,Ref,GRASS,Perennial,PGL7,PGL,ALT,PCF,WashingtonState,Palouse,A,1.02,2.8044,0,5,1,14.302439999999999
683,PGL9-1-1,PGL9-1,1,PCFS3-2A-PGL9,NA,NA,NA,,0.91,7.764642665,3.0774,NA,0.24105,54.87,61.69815594,NA,15.22,11.17,19.3528,27.6,0.96,4.84,336.5,16.89444115,2.382505596,1.231487718,98.92042746,4.697904033,10.87486414,650.3,16.157,NA,NA,NA,WA-075-SW-PCFS31C-ASP9-14-0_5-2018,19N01573,Ap1a,0,5,585,1,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,NA,,NA,,,0.5,F,5,VF,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,PGL9,82,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,PCF,WashingtonState,Palouse,A,0.91,3.0774,0,5,1,14.00217
689,PGL9-2-1,PGL9-2,1,PCFS3-2B-PGL9,NA,NA,NA,,1.07,12.8,2.5818,NA,0.21536,68.49,31.22090877,NA,7.7,9.8,12.0056,32.6,0.55,4.7,216.8,13.17429058,1.002054738,14.9126075,111.1584033,22.67733464,134.3284312,780,3.1916,NA,NA,NA,WA-075-SW-PCFS3-2B-PGL9-8-0_5-18,19N01578,Ap1a,0,5,591,1,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,NA,,NA,,,0.5,F,3,VF,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,PGL9,82,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,PCF,WashingtonState,Palouse,A,1.07,2.5818,0,5,1,13.812629999999999
696,PGL9-3-1,PGL9-3,1,PCFS3-2C-PGL9,NA,NA,NA,,1.07,10.28232133,3.3002,NA,0.2474,39.12,21.68888707,NA,5.35,11.79,13.6352,36.7,0.6,5.14,319.4,14.21152829,104.1452083,41.92049772,19.02403924,31.69723908,2.479566367,868.8,5.341,NA,NA,NA,WA-075-SW-PCFS3-2C-PGL9-15-0_5-18,19N01583,Ap1a,0,5,598,1,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,3,VF,NA,,NA,,,0.5,F,4,VF,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,PGL9,82,Ref - CRP,Ref,GRASS,Perennial,PGL9,PGL,ALT,PCF,WashingtonState,Palouse,A,1.07,3.3002,0,5,1,17.65607
1233,IL-019-SW-ARBRTM-001-1-061920,IL-019-SW-ARBRTM-001,1,IL-019-SW-ARBRTM-001,5,67,28,,1.133035004,27.3,5.4558,NA,0.4278,NA,1.71,NA,NA,NA,NA,NA,NA,6.7,0.465567981,367.6095,250.247,489.8763,283.4839,507.8075,367.5537,907.502,14.33127268,NA,NA,NA,IL-019-SW-ARBRTM-001-1-061920,,,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,not-used,1.133035004,5.4558,0,5,1,30.908061874115997
1239,IL-019-SW-ARBRTM-002-1-061920,IL-019-SW-ARBRTM-002,1,IL-019-SW-ARBRTM-002,10,66,24,,0.994371983,26.6,5.707,NA,0.4792,NA,1.56,NA,NA,NA,NA,NA,NA,6.7,0.404223322,534.2575,271.4101,478.2895,310.0537,473.2947,447.0105,1011.984,15.95614058,NA,NA,NA,IL-019-SW-ARBRTM-002-1-061920,,,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,not-used,0.994371983,5.707,0,5,1,28.374404534904997
1245,IL-019-SW-ARBRTM-003-1-061920,IL-019-SW-ARBRTM-003,1,IL-019-SW-ARBRTM-003,7,75,18,,1.035571668,32,5.8616,NA,0.451,NA,2.14,NA,NA,NA,NA,NA,NA,6.4,0.642359839,699.2173,331.8625,416.802,299.9458,478.122,604.7787,1044.719,20.60876699,NA,NA,NA,IL-019-SW-ARBRTM-003-1-061920,,,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-019-SW-ARBRTM,31,Ref - Ref,Ref,FOREST,Perennial,Ref,Restored since 1990,Reference,Arboretum,Illinois,Drummer,not-used,1.035571668,5.8616,0,5,1,30.350534445744
1251,IL-019-SW-RTHRML-001-1-010820,IL-019-SW-RTHRML-001,1,IL-019-SW-RTHRML-001,NA,NA,NA,,NA,NA,3.2561,NA,0.2782,NA,1.6,NA,NA,NA,NA,NA,NA,6.1,NA,506.4,153.5,310.95,369.6,540.36,375.5,515.685,8.286240308,NA,NA,NA,IL-019-SW-RTHRML-001-1-010820,,,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,not-used,1.0805353862666667,3.2561,0,5,1,17.591656356114466
1257,IL-019-SW-RTHRML-002-1-010820,IL-019-SW-RTHRML-002,1,IL-019-SW-RTHRML-002,NA,NA,NA,,NA,NA,2.8098,NA,0.2327,NA,1.2,NA,NA,NA,NA,NA,NA,6.8,NA,347.91,43.9,305.95,329.5153,518.92,368.21,487.671,6.565228234,NA,NA,NA,IL-019-SW-RTHRML-002-1-010820,,,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL-019-SW-RTHRML,32,SHM - NT,SHM,CROP,No-till,NT,No-Till managed with corn-soybean rotations,AG-CROP,Rothermel,Illinois,Drummer,not-used,1.0805353862666667,2.8098,0,5,1,15.180441641660401
