cooplabmst_id,dsp_sample_id,dsp_pedon_id,layer_no_lab,dsp_pedon,sand_pct,silt_pct,clay_pct_lab,texture,bulk_density,water_content,soc_pct,tc_pct,tn_pct,kssl_wsa,yoder_agg_stab_mwd,yoder_agg_stab_total_ws,yoder_ws_2_8,yoder_ws_pt5_2,yoder_ws_250_500,yoder_ws_53_250,ec,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace,weoc,weon,effervescence,plfa_id,kssl_labsampnum,hzdesg,hrzdep_t,hrzdep_b,layerdes_id,layer_no_field,field_texture,coarse_frag_volume,clay_pct_field,color_moist_hue,color_moist_value,color_moist_chroma,color_dry_hue,color_dry_value,color_dry_chroma,depletions_knd,depletions_col_h,depletions_col_v,depletions_col_c,ped_surf_feat_knd,ped_surf_feat_amt,ped_surf_feat_loc,conc_knd,conc_qty,conc_size,conc_cont,conc_col_h,conc_col_v,conc_col_c,conc_mst,conc_shp,conc_loc,structure_grade,structure_size,structure_type,consistence_rup_res_mst,consistence_rup_res_dry,consistence_stk,consistence_pls,roots_qty1,roots_sz1,roots_qty2,roots_sz2,roots_qty3,roots_sz3,roots_loc,pores_qty1,pores_sz1,pores_qty2,pores_sz2,pores_qty3,pores_sz3,pores_shp,roots_qty4,roots_sz4,roots_qty5,roots_sz5,pores_qty4,pores_sz4,pores_qty5,pores_sz5,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,genhz,bd_fill,soc_fill,coarse_frag_fill,hrzdepth,cf_mult,soc_stock_hrz,lat,long,ID,mat,map,climate,single_ring_infiltration_1,single_ring_infiltration_2,cornell_infiltrometer
609,BAU3-1-6,BAU3-1,6,KUI-2A-BAU3,NA,NA,NA,,1.06,13.872,0.41,NA,0.03,80.2,55.98531511,NA,13.72,30.39,16.61007866,17.4,0.65,7.9,342.3,45.9363346,89.47848226,60.81367663,7.145586877,3.473099761,4.00731849,0,0.4521,NA,NA,,,,Bw1,100,122,511,6,SICL,NA,NA,10YR,4,2,10YR,4,4,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,PR,NA,NA,NA,NA,2,VF,NA,,NA,,,3,VF,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,Bw,1.06,0.41,0,22,1,9.5612,46.78188975,-117.0822114,291,8.233333587646484,611,cool_dry,NA,NA,NA
610,BAU3-2-1,BAU3-2,1,KUI-2B-BAU3,NA,NA,NA,,0.72,6.783601014,1.75,NA,0.13,13.14,3.53683371,NA,0.87,3.19,10.7316527,42.5,0.42,5.84,308,23.34964471,128.7698575,5.848384824,77.21936041,69.85423867,1.981013306,239.1,3.8341,NA,NA,,ID-057-SW-KUI-2B-BAU3-7-P2-0_5-18,19N01521,Ap1a,0,5,512,1,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,0.5,M,NA,,,6,VF,1,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,0.72,1.75,0,5,1,6.3,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
611,BAU3-2-2,BAU3-2,2,KUI-2B-BAU3,NA,NA,NA,,0.67,10.11723838,1.33,NA,0.11,31.26,2.618476846,NA,0.64,10.14,18.82211317,39.7,0.55,6.32,319.4,86.4450126,82.52237913,-1.996975351,7.300193974,76.06647953,82.22480606,92.1,3.0691,NA,NA,,ID-057-SW-KUI-2B-BAU3-8-P2-5_10-18,19N01522,Ap1b,5,10,513,2,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,0.5,M,NA,,,6,VF,1,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,0.67,1.33,0,5,1,4.455500000000001,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
612,BAU3-2-3,BAU3-2,3,KUI-2B-BAU3,NA,NA,NA,,0.99,12.38542365,0.84,NA,0.07,23.62,4.706283413,NA,1.15,18.25,25.06457572,14.6,0.49,6.96,308,76.38929682,122.2476498,13.8974918,8.286170438,93.65535259,11.18004512,2.1,2.0479,NA,NA,,ID-057-SW-KUI-2B-BAU3-9P2-10_38-18,19N01523,Ap2,10,38,514,3,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,2,VF,2,F,NA,,,2,VF,2,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,0.99,0.84,0,28,1,23.2848,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
613,BAU3-2-4,BAU3-2,4,KUI-2B-BAU3,NA,NA,NA,,1.15,12.59807218,0.56,NA,0.07,17.93,1.743535646,NA,0.43,10.51,22.33010874,20.3,0.68,7.25,330.8,117.0567621,51.68839733,-1.44037425,22.33086366,9.578734157,23.10435421,9.9,0.895,NA,NA,,ID-057-SW-KUI-2BBAU3-10P2-38_75-18,19N01524,A,38,75,515,4,SIL,NA,NA,10YR,3,2,10YR,4,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,5,VF,1,F,NA,,,3,VF,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,1.15,0.56,0,37,1,23.828,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
614,BAU3-2-5,BAU3-2,5,KUI-2B-BAU3,NA,NA,NA,,1.14,15.47455296,0.51,NA,0.06,12.24,1.161681963,NA,0.28,8.37,22.91644173,34.1,0.55,7.46,313.7,19.15149722,20.45609782,0.244794689,4.589651762,47.45486105,3.598568253,4.7,0.9107,NA,NA,,ID-057-SW-KUI-2BBAU311P2-75_103-18,,AB,75,103,516,5,SICL,NA,NA,10YR,4,3,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,SBK,NA,NA,NA,NA,2,VF,NA,,NA,,,2,VF,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,AB,1.14,0.51,0,28,1,16.279199999999996,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
615,BAU3-2-6,BAU3-2,6,KUI-2B-BAU3,NA,NA,NA,,1.12,16.5935,0.2,NA,0.02,5.57,1.339872,NA,0.33,4.53,17.0388,49,0.36,7.57,296.6,13.0355937,84.53759629,10.93857307,18.52227508,58.90691226,19.71889396,0,0.632,NA,NA,,,,Bw1,103,122,517,6,SICL,NA,NA,10YR,4,2,10YR,4,4,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,PR,NA,NA,NA,NA,2,VF,NA,,NA,,,1,VF,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,Bw,1.12,0.2,0,19,1,4.256,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA
616,BAU3-3-1,BAU3-3,1,KUI-2C-BAU3,NA,NA,NA,,0.72,6.806615776,1.9,NA,0.14,17.91,3.860439531,NA,0.95,4.51,11.24199058,26.4,0.44,6.22,325.1,11.6185992,68.79980323,9.667618469,4.025501918,13.89118915,143.6576659,217.5,4.7738,NA,NA,,ID-057-SW-KUI-2C-BAU3-13-P3-0_5-18,19N01525,Ap1a,0,5,518,1,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,1,F,NA,,,5,VF,0.5,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,0.72,1.9,0,5,1,6.84,46.74504916,-117.4236809,293,10.14466667175293,455,cool_dry,NA,NA,NA
617,BAU3-3-2,BAU3-3,2,KUI-2C-BAU3,NA,NA,NA,,0.71,8.964186146,1.44,NA,0.11,27.86,5.829506484,NA,1.43,8.46,15.18225344,38.9,0.29,6.31,296.6,17.60542792,160.5168483,0.241063132,8.820383682,0.506391153,126.3877698,1,3.0698,NA,NA,,ID-057-SW-KUI-2C-BAU3-14P3-5_10-18,19N01526,Ap1b,5,10,519,2,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,4,VF,1,F,NA,,,4,VF,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,0.71,1.44,0,5,1,5.112,46.74504916,-117.4236809,293,10.14466667175293,455,cool_dry,NA,NA,NA
618,BAU3-3-3,BAU3-3,3,KUI-2C-BAU3,NA,NA,NA,,1,10.28770706,0.86,NA,0.09,38.72,2.372158769,NA,0.58,9.61,19.09608632,25.7,0.39,6.7,319.4,13.73044633,34.75944687,12.4047292,3.264464196,27.2866955,46.37206395,89,1.6133,NA,NA,,ID-057-SW-KUI-2CBAU3-15P3-10_33-18,19N01527,Ap2,10,33,520,3,SIL,NA,NA,10YR,3,2,10YR,5,3,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,GR,NA,NA,NA,NA,2,VF,0.5,M,NA,,,3,VF,1,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,A,1,0.86,0,23,1,19.78,46.74504916,-117.4236809,293,10.14466667175293,455,cool_dry,NA,NA,NA
