project,soil,dsp_pedon_id,pedon_x,pedon_y,ID,mat,map,climate
WashingtonState,Palouse,PGL7-7b,-117.1998969,46.75739636,67,8.493000030517578,542,cool_dry
WashingtonState,Palouse,PGL7-7c,-117.1998969,46.75739636,68,8.493000030517578,542,cool_dry
WashingtonState,Palouse,PGL9-1,-117.20006,46.75757146,69,8.493000030517578,542,cool_dry
WashingtonState,Palouse,PGL9-2,-117.1998969,46.75739636,70,8.493000030517578,542,cool_dry
WashingtonState,Palouse,PGL9-3,-117.1998969,46.75739636,71,8.493000030517578,542,cool_dry
UnivOfMinnesota,Marquis,ALT-1,-92.85464,43.74984,72,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-2,-92.85499,43.74981,73,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-3,-92.85457,43.74953,74,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-4,-92.85453,43.74922,75,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-5,-92.85467,43.74899,76,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-6,-92.85419,43.74893,77,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-7,-92.85348,43.74876,78,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-8,-92.85374,43.74855,79,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-9,-92.85341,43.749,80,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,CON-1,-92.845294,43.74768,81,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,CON-2,-92.845601,43.747906,82,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,CON-3,-92.844985,43.747593,83,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,CON-4,-92.84107,43.750483,84,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-5,-92.84134,43.75062,85,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-6,-92.84078,43.75034,86,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-7,-92.84329,43.75222,87,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-8,-92.843677,43.75218,88,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-9,-92.842882,43.752284,89,6.757166862487793,827,cool_dry
UnivOfMinnesota,Kenyon,REF-1,-92.845067,43.746917,90,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-2,-92.8454,43.7469,91,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-3,-92.84465,43.746883,92,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-4,-92.84395,43.746883,93,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-5,-92.844333,43.7469,94,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-6,-92.8436,43.74685,95,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-7,-92.843,43.74685,96,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-8,-92.84325,43.7469,97,6.805333614349365,821,cool_dry
UnivOfMinnesota,Kenyon,REF-9,-92.84265,43.746867,98,6.805333614349365,821,cool_dry
Illinois,Drummer,IL-019-SW-ARBRTM-001,-88.216396,40.0916401,99,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-ARBRTM-002,-88.2161899,40.0918033,100,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-ARBRTM-003,-88.2159005,40.0914285,101,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-001,-88.0238,39.9295,102,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-001A,-88.0238,39.9295,103,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-002,-88.0238,39.9295,104,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-003,-88.0275783,39.9254322,105,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-004,-88.0275783,39.9254322,106,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-004A,-88.027589,39.92541,107,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-001,-88.745608,39.895068,108,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-001A,-88.745608,39.895068,109,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-002,-88.746645,39.895384,110,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-003,-88.746587,39.90146,111,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-001,-88.798131,39.866062,112,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-001A,-88.798131,39.866062,113,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-002,-88.799917,39.865395,114,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-003,-88.798039,39.868482,115,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-147-SW-CRP-001,-88.743611,39.895694,116,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-CRP-001A,-88.743611,39.895694,117,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-CRP-002,-88.743611,39.896889,118,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-CRP-003,-88.743333,39.898194,119,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-TS-001,-88.700021,39.876683,120,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-TS-002,-88.700776,39.878541,121,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-TS-003,-88.705988,39.878261,122,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-TS-003A,-88.705988,39.878261,123,11.108333587646484,1003,cool_wet
UConn,Woodbridge,PaH2-1,-72.2346389,41.7541111,124,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaL1-1,-72.188333,41.7995278,125,8.826166152954102,1251,cool_wet
UConn,Woodbridge,PaL1-2,-72.18838889,41.7995556,126,8.826166152954102,1251,cool_wet
UConn,Canton,PaL2-2,-72.1895,41.80006,127,8.826166152954102,1251,cool_wet
UConn,Canton,PaM1-1,-72.23745,41.8184833,128,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaM2-1,-72.25135,41.8207833,129,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaM2-2,-72.2543056,41.821,130,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaT2-1,-72.2351944,41.7537778,131,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaU1-1,-72.2388333,41.8184333,132,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaU1-2,-72.238939,41.818491,133,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaU2-1,-72.2532778,41.8216111,134,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaU2-2,-72.25333,41.82161667,135,8.846333503723145,1257,cool_wet
TexasA&MPt-1,Amarillo,CVT-1-1,-101.9472,32.774177,136,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-1-2,-101.9472,32.774177,137,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-1-3,-101.9472,32.774177,138,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-2-1,-101.947051,32.774988,139,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-2-2,-101.947051,32.774988,140,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-2-3,-101.947051,32.774988,141,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-3-1,-101.947185,32.775734,142,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-3-2,-101.947185,32.775734,143,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT-3-3,-101.947185,32.775734,144,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NAT-1-1,-102.406408,32.060626,145,17.543832778930664,376,warm_dry
TexasA&MPt-1,Amarillo,NAT-2-2,-102.406791,33.059817,146,15.607999801635742,453,warm_dry
TexasA&MPt-1,Amarillo,NAT-3-3,-102.406186,33.060119,147,15.607999801635742,453,warm_dry
TexasA&MPt-1,Amarillo,NTM-1-1,-101.946881,32.774275,148,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-1-2,-101.946881,32.774275,149,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-1-3,-101.946881,32.774275,150,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-2-1,-101.947229,32.775004,151,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-2-2,-101.947229,32.775004,152,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-2-3,-101.947229,32.775004,153,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3-1,-101.94738,32.775739,154,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3-2,-101.94738,32.775739,155,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3-3,-101.94738,32.775739,156,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-1-1,-101.947399,32.775007,157,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-1-2,-101.947399,32.775007,158,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-1-3,-101.947399,32.775007,159,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-2-1,-101.947399,32.775007,160,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-2-2,-101.947399,32.775007,161,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-2-3,-101.947399,32.775007,162,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-3-1,-101.947009,32.775683,163,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-3-2,-101.947009,32.775683,164,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR-3-3,-101.947009,32.775683,165,16.16983413696289,462,warm_dry
TexasA&MPt-2,Pullman,MT-1-1,-102.093806,35.18025,166,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-1-2,-102.093806,35.18025,167,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-1-3,-102.093806,35.18025,168,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-1,-102.093806,35.18025,169,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-2,-102.093806,35.18025,170,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-3,-102.093806,35.18025,171,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-1,-102.093806,35.18025,172,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-2,-102.093806,35.18025,173,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-3,-102.093806,35.18025,174,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-1,-102.093806,35.18025,175,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-2,-102.093806,35.18025,176,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-3,-102.093806,35.18025,177,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-1,-102.093806,35.18025,178,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-2,-102.093806,35.18025,179,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-3,-102.093806,35.18025,180,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-3-1,-102.093806,35.18025,181,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-3-2,-102.093806,35.18025,182,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-3-3,-102.093806,35.18025,183,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-1-1,-102.093806,35.18025,184,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-1-2,-102.093806,35.18025,185,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-1-3,-102.093806,35.18025,186,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-1,-102.093806,35.18025,187,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-2,-102.093806,35.18025,188,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-3,-102.093806,35.18025,189,13.280166625976563,472,cool_dry
OregonState,Jory,JoF1-1,-123.2972812,44.6361175,190,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF1-2,-123.2973802,44.6362175,191,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF1-3,-123.2974823,44.6358175,192,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF2-1,-123.355451,44.918413,193,10.75433349609375,1556,cool_wet
OregonState,Jory,JoF2-2,-123.355551,44.918544,194,10.75433349609375,1556,cool_wet
OregonState,Jory,JoF2-3,-123.355451,44.918514,195,10.75433349609375,1556,cool_wet
OregonState,Jory,JoF3-1,-123.41895,44.74261,196,10.579500198364258,1722,cool_wet
OregonState,Jory,JoF3-2,-123.41905,44.74261,197,10.579500198364258,1722,cool_wet
OregonState,Jory,JoF3-3,-123.41875,44.74261,198,10.579500198364258,1722,cool_wet
OregonState,Jory,JoV1-1,-123.07116,45.24882,199,11.384166717529297,1036,cool_wet
OregonState,Jory,JoV1-2,-123.07126,45.24882,200,11.384166717529297,1036,cool_wet
OregonState,Jory,JoV1-3,-123.07096,45.24912,201,11.384166717529297,1036,cool_wet
OregonState,Jory,JoV2-1,-123.049801,45.251054,202,10.831167221069336,1297,cool_wet
OregonState,Jory,JoV2-2,-123.049901,45.250954,203,10.831167221069336,1297,cool_wet
OregonState,Jory,JoV2-3,-123.049601,45.251354,204,10.831167221069336,1297,cool_wet
OregonState,Jory,JoV3-1,-123.130763,45.037101,205,11.041333198547363,1211,cool_wet
OregonState,Jory,JoV3-2,-123.130863,45.037201,206,11.041333198547363,1211,cool_wet
OregonState,Jory,JoV3-3,-123.130563,45.037101,207,11.041333198547363,1211,cool_wet
OregonState,Jory,JoXT1-1,-123.33523,44.4319,208,10.982500076293945,1468,cool_wet
OregonState,Jory,JoXT1-2,-123.33533,44.4318,209,10.982500076293945,1468,cool_wet
OregonState,Jory,JoXT1-3,-123.33503,44.4316,210,10.982500076293945,1468,cool_wet
OregonState,Jory,JoXT2-1,-123.13708,45.04997,211,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT2-2,-123.13718,45.04987,212,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT2-3,-123.13688,45.04997,213,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT3-1,-122.90909,44.910377,214,11.120499610900879,1186,cool_wet
OregonState,Jory,JoXT3-2,-122.90899,44.910277,215,11.120499610900879,1186,cool_wet
OregonState,Jory,JoXT3-3,-122.90889,44.910077,216,11.120499610900879,1186,cool_wet
OregonState,Woodburn,WoCT1-1,-122.964818,45.231102,217,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT1-2,-122.964718,45.231202,218,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT1-3,-122.964618,45.231402,219,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT2-1,-122.842842,45.014134,220,11.441166877746582,1053,cool_wet
