DSP_Pedon_ID,DSP_Plot_ID,pedon_x,pedon_y,Label_full,Label,PLFA_ID_Surface,LU,till,trt,explanation,State,Site,Pedon_Num,Project,Soil_Sampled_Name,Project_full,partsize_class,Gen_surf,Gen_MAP,Gen_MAT,Texture_Class,Target_Soil_Name
KeN3 - 1,KeN3,-100.8692162,39.9736474,Ref - Native,Ref,KS-153-SW-107-1-0_5-2018,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN3 - 2,KeN3,-100.8692095,39.9739409,Ref - Native,Ref,KS-153-SW-108-1-0_5-2018,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN3 - 3,KeN3,-100.8690184,39.9737363,Ref - Native,Ref,KS-153-SW-109-1-0_5-2018,RANGE,Perennial,Native Rangeland (>80years),"Native rangeland, never been tilled to his knowledge (over 80 years).  100-125 700lb steers to a 0.5mile x 1mile pasture",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeCF1 - 1,KeCF1,-100.5431538,39.2447359,SHM - no-till,SHM,KS-179-SW-104-1-0_5-2018,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeCF1 - 2,KeCF1,-100.5430643,39.2450134,SHM - no-till,SHM,KS-179-SW-105-1-0_10-2018,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeCF1 - 3,KeCF1,-100.5427146,39.2447102,SHM - no-till,SHM,KS-179-SW-106-1-0_5-2018,CROP,No-till,"No-Till  with cover crop -  corn, oats, or wheat.","No-Till since 2001 with cover cropping.  Cover cropped every three years since 2006.  Typically planted to corn, oats, or wheat.",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN1 - 1,KeN1,-100.56165,39.249205,Ref - Native,Ref,KS-179-SW-107-1-0_5-2018,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN1 - 2,KeN1,-100.56165,39.249205,Ref - Native,Ref,KS-179-SW-108-1-0_5-2018,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN1 - 3,KeN1,-100.56165,39.249205,Ref - Native,Ref,KS-179-SW-109-1-0_5-2018,RANGE,Perennial,Native Rangeland (>40 years),"Native rangeland, never been tilled to their knowledge (over 40 years)",Reference,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC1 - 1,KeC1,-100.557271,39.244626,BAU,BAU,KS-179-SW-110-1-0_5-2018,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC1 - 2,KeC1,-100.557271,39.244626,BAU,BAU,KS-179-SW-111-1-0_5-2018,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC1 - 3,KeC1,-100.557271,39.244626,BAU,BAU,KS-179-SW-112-1-0_5-2018,CROP,Till,Till with rotation (eco-fallow),"Eco-Fallow Rotation.  Summer fallow is reg tillage, driled to wheat, spray stubble after harvest.  No-till corn, then fallow. (Fallow is the tillage part and wheat stubble is cleaned) No disc, just a sweep plow",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC2 - 1,KeC2,-101.0631493,39.3817794,BAU,BAU,KS-193-SW-101-1-0_5-2018,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC2 - 2,KeC2,-101.0632519,39.3815262,BAU,BAU,KS-193-SW-102-1-0_5-2018,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeC2 - 3,KeC2,-101.0629297,39.3816973,BAU,BAU,KS-193-SW-103-1-0_5-2018,CROP,Till,Tilled once every 3 years.  Sorghum/wheat/corn,"Tilled once every 3 years.  Sorghum '15, tilled summer 2016, wheat '16, corn '18",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN2 - 1,KeN2,-101.0636022,39.3843208,Ref - Native,Ref,KS-193-SW-104-1-0_5-2018,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN2 - 2,KeN2,-101.0636425,39.3840397,Ref - Native,Ref,KS-193-SW-105-1-0_5-2018,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
KeN2 - 3,KeN2,-101.063449,39.384217,Ref - Native,Ref,KS-193-SW-106-1-0_5-2018R,RANGE,Perennial,Native Rangeland - w 1 haying,"No knowledge of tillage in last 33+ years, occasional herbicide treatment for broadleaf, 1 cut of hay per year for last five years",AG-CROP,,,KansasState,Keith,Kansas - Keith,fine-silty,Silt Loam,460,11,,
CeC1-2,CeC1,-78.68135,35.73571,BAU,BAU,NC-183-SWSHA-C1B-0_5-03192018,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC1-3,CeC1,-78.68177,35.73594,BAU,BAU,NC-183-SWSHA-C1C-0_5-03192018,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC1-1,CeC1,-78.6893,35.73547,BAU,BAU,NC-183-SWSHA-C1PIT-0_5-03192018,CROP,Till,wheat - 1,corn,AG-CROP,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC2-1,CeC2,-78.67495,35.72791,BAU,BAU,NC-183-SWSHA-C2A-0_5-03232018,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC2-2,CeC2,-78.67525,35.72765,BAU,BAU,NC-183-SWSHA-C2B-0_5-03232018,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC2-3,CeC2,-78.67555,35.72739,BAU,BAU,NC-183-SWSHA-C2C-0_5-03232018,CROP,Till,wheat - 2,corn,AG-CROP,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC3-1,CeC3,-78.67194,35.72451,BAU,BAU,NC-183-SWSHA-C3A-0_5-03232018,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC3-2,CeC3,-78.67194,35.72481,BAU,BAU,NC-183-SWSHA-C3B-0_5-03232018,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeC3-3,CeC3,-78.67194,35.72511,BAU,BAU,NC-183-SWSHA-C3C-0_5-03232018,CROP,Till,wheat - 3,corn,AG-CROP,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeF3-2,CeF3,-78.66952,35.72619,Ref - Forest,Ref,NC-183-SWSHA-F3B-0_5-03232018,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
CeF3-1,CeF3,-78.66969,35.72612,Ref - Forest,Ref,NC-183-SWSHA-F3PIT-0_5R-03232018,FOREST,Perennial,forest,forest,Reference,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH1,-78.68048,35.73409,SHM - forage,SHM,NC-183-SWSHA-P1A-0_5-03192018,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH1,-78.68042,35.73443,SHM - forage,SHM,NC-183-SWSHA-P1B-0_5-03192018,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH1,-78.68036,35.73477,SHM - forage,SHM,NC-183-SWSHA-P1PIT-0_5-03192018,FORAGE,Perennial,hay 1,hay,AG-FORAGE,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH2,-78.67504,35.72877,SHM - forage,SHM,NC-183-SWSHA-P2A-0_5-03192018,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH2,-78.67478,35.72871,SHM - forage,SHM,NC-183-SWSHA-P2B-0_5-03192018,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH2,-78.67452,35.72865,SHM - forage,SHM,NC-183-SWSHA-P2C-0_5-03192018,FORAGE,Perennial,hay 2,hay,AG-FORAGE,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH3,-78.67191,35.73246,SHM - forage,SHM,NC-183-SWSHA-P3A-0_5-03192018,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,a,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH3,-78.67204,35.73285,SHM - forage,SHM,NC-183-SWSHA-P3B-0_5-03192018,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,b,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
#REF!,CeH3,-78.67215,35.73325,SHM - forage,SHM,NC-183-SWSHA-P3C-0_5-03192018,FORAGE,Perennial,hay 3,hay,AG-FORAGE,Lake Wheeler,c,NCState,Cecil ,NC State - Cecil,fine,sandy loam,1219,15,,
JoF1 - 1,JoF1,-123.2972812,44.6361175,Ref - Forest,Ref,OR-003-SW-001A-WV0001-042419,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle. ",,OSU1,1,OregonState,,Oregon State - Jory,sic,SiCL,1425,11,sic,Jory
JoF1 - 2,JoF1,-123.2973802,44.6362175,Ref - Forest,Ref,OR-003-SW-001B-WV0006-042419,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle. ",,OSU1,2,OregonState,,Oregon State - Jory,c,,1425,11,,Jory
JoF1 - 3,JoF1,-123.2974823,44.6358175,Ref - Forest,Ref,OR-003-SW-001C-WV0011-042419,FOREST,Perennial,Forest,"Douglas fir trees 25-30 years old, McDonald Dunn Research Forest at Lewisburg Saddle. ",,OSU1,3,OregonState,,Oregon State - Jory,c,,1425,11,,Jory
JoF2 - 1,JoF2,-123.355451,44.918413,Ref - Forest,Ref,OR-053-SW-002A-WV0016-051319,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,,OSU2,1,OregonState,,Oregon State - Jory,sic,SiCL,1397,11,sicl,Jory
JoF2 - 2,JoF2,-123.355551,44.918544,Ref - Forest,Ref,OR-053-SW-002B-WV0021-051319,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,,OSU2,2,OregonState,,Oregon State - Jory,sic,,1397,11,,Jory
JoF2 - 3,JoF2,-123.355451,44.918514,Ref - Forest,Ref,OR-053-SW-002C-WV0026-051319,FOREST,Perennial,Forest,Douglas fir trees were last harvested 25 years ago,,OSU2,3,OregonState,,Oregon State - Jory,sic,,1397,11,,Jory
WoNT1 - 1,WoNT1,-123.27097,44.737333,SHM - No-till,SHM,OR-053-SW-003A-WV0031-052019,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season. ,,OSU3,1,OregonState,,Oregon State - Woodburn,sil,SiL,1116,12,sil,Woodburn
WoNT1 - 2,WoNT1,-123.27107,44.737333,SHM - No-till,SHM,OR-053-SW-003B-WV0037-052019,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season. ,,OSU3,2,OregonState,,Oregon State - Woodburn,sil,,1116,12,,Woodburn
WoNT1 - 3,WoNT1,-123.27077,44.737633,SHM - No-till,SHM,OR-053-SW-003C-WV0043-052019,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season. ,,OSU3,3,OregonState,,Oregon State - Woodburn,sil,,1123,12,,Woodburn
JoV1 - 1,JoV1,-123.07116,45.24882,SHM - Vineyard,SHM,OR-071-SW-004A-WV0049-052119,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,,OSU4,1,OregonState,,Oregon State - Jory,sicl,SiL,1224,11,sicl,Jory
JoV1 - 2,JoV1,-123.07126,45.24882,SHM - Vineyard,SHM,OR-071-SW-004B-WV0055-052119,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,,OSU4,2,OregonState,,Oregon State - Jory,sicl,,1224,11,,Jory
JoV1 - 3,JoV1,-123.07096,45.24912,SHM - Vineyard,SHM,OR-071-SW-004C-WV0061-052119,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,,OSU4,3,OregonState,,Oregon State - Jory,sicl,,1224,11,,Jory
WoH1 - 1,WoH1,-122.96961,45.2279,Ref - Hazelnut,Ref,OR-047-SW-005A-WV0067-052219,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard is about 30 years old, no ground cover evident. No tillage occurs now, but heavy equipment is often driven over the surface, especially for harvest.",,OSU5,1,OregonState,,Oregon State - Woodburn,sil,SiL,1085,12,sil,Woodburn
WoH1 - 2,WoH1,-122.96961,45.2278,Ref - Hazelnut,Ref,OR-047-SW-005B-WV0073-052219,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard is about 30 years old, no ground cover evident. No tillage occurs now, but heavy equipment is often driven over the surface, especially for harvest.",,OSU5,2,OregonState,,Oregon State - Woodburn,sil,,1085,12,,Woodburn
