"DSP_sample_ID","DSP_Pedon_ID","hzdesg","layer_no","hrzdep_t","hrzdep_b"
"PaN2-2-3","PaN2-2","Ap1",3,16,35
"PaN2-2-4","PaN2-2","Ap2",4,35,51
"PaN2-3-1","PaN2-3","Bt1",1,0,5
"PaN2-3-2","PaN2-3","Bt2",2,5,10
"PaN2-3-3","PaN2-3","Btk1",3,17,40
"PaN2-3-4","PaN2-3","Btk2",4,40,56
"PaH2-1-1","PaH2-1","Ap1",1,0,5
"PaH2-1-2","PaH2-1","Ap2",2,5,10
"PaH2-1-3","PaH2-1","Ap2",3,10,19
"PaH2-1-4","PaH2-1","Bw1",4,19,32
"PaH2-1-5","PaH2-1","Bw2",5,32,41
"PaH2-1-6","PaH2-1","Bw3",6,41,55
"PaH2-1-7","PaH2-1","Cd1",7,55,75
"PaH2-2-1","PaH2-2","Ap1",1,0,5
"PaH2-2-2","PaH2-2","Ap1",2,5,10
"PaH2-2-3","PaH2-2","Ap2",3,12,23
"PaH2-2-4","PaH2-2","Bw",4,23,38
"PaH2-2-5","PaH2-2","BC",5,38,50
"PaT2-1-1","PaT2-1","Ap",1,0,5
"PaT2-1-2","PaT2-1","Ap",2,5,10
"PaT2-1-3","PaT2-1","Ap",3,10,19
"PaT2-1-4","PaT2-1","Bw",4,19,30
"PaT2-1-5","PaT2-1","BC",5,30,45
"PaT2-1-6","PaT2-1","Cd1",6,45,62
"PaT2-1-7","PaT2-1","Cd2",7,62,80
"PaT2-1-8","PaT2-1","Cd3",8,80,94
"PaT2-1-9","PaT2-1","Cd4",9,94,116
"PaT2-2-1","PaT2-2","Ap1",1,0,5
"PaT2-2-2","PaT2-2","Ap1",2,5,10
"PaT2-2-3","PaT2-2","Ap2",3,15,29
"PaT2-2-4","PaT2-2","BC",4,29,39
"PaT2-2-5","PaT2-2","Cd",5,39,56
"PaT2-3-1","PaT2-3","Ap",1,0,5
"PaT2-3-2","PaT2-3","Ap",2,5,10
"PaT2-3-3","PaT2-3","Bw",3,17,26
"PaT2-3-4","PaT2-3","Cd1",4,26,38
"PaT2-3-5","PaT2-3","Cd2",5,38,51
"KeC3 - 2-2","KeC3 - 2","Ap2",2,5,15
"KeC3 - 2-3","KeC3 - 2","Bt1",3,15,26
"KeC3 - 2-4","KeC3 - 2","Bt2",4,26,35
"KeC3 - 2-5","KeC3 - 2","Btk1",5,35,55
"KeC3 - 2-6","KeC3 - 2","Btk2",6,55,86
"KeC3 - 2-7","KeC3 - 2","Bk",7,86,100
"KeC3 - 3-1","KeC3 - 3","Ap1",1,0,10
"KeC3 - 3-2","KeC3 - 3","Ap2",2,10,18
"KeC3 - 3-3","KeC3 - 3","Bt1",3,18,29
"KeC3 - 3-4","KeC3 - 3","Bt2",4,29,41
"KeC3 - 3-5","KeC3 - 3","Btk1",5,41,57
"KeC3 - 3-6","KeC3 - 3","Btk2",6,57,76
"KeC3 - 3-7","KeC3 - 3","Bk",7,76,100
"KeN3 - 1-1","KeN3 - 1","A1",2,0,5
"KeN3 - 1-3","KeN3 - 1","A2",3,10,23
"KeN3 - 1-4","KeN3 - 1","Bt1",4,23,44
"KeN3 - 1-5","KeN3 - 1","Bt2",5,44,68
"KeN3 - 1-6","KeN3 - 1","Bk1",6,68,80
"KeN3 - 1-7","KeN3 - 1","Bk2",7,80,100
"KeC2 - 3-3","KeC2 - 3","Ap2",1,10,26
"PGL7-7b-5","PGL7-7b","AB",5,45,65
"PGL7-7c-5","PGL7-7c","AB",5,45,67
"PGL7-7b-6","PGL7-7b","Bw1",6,65,98
"PGL7-7c-6","PGL7-7c","Bw1",6,67,103
"PGL7-7b-7","PGL7-7b","Bw2",7,98,122
"PGL7-7c-7","PGL7-7c","Bw2",7,103,122
"JoXT2 - 1 - 1","JoXT2 - 1","Ap",1,0,0
"AX2-2-2","AX2-2","A1",2,5,10
"AX2-2-3","AX2-2","B2",3,10,30
"AX2-2-4","AX2-2","B2ca",4,30,50
"AX2-2-5","AX2-2","Ap",5,50,80
"AX2-2-6","AX2-2","Ap",6,80,100
"AX2-3-2","AX2-3","A1",2,5,10
"AX2-3-3","AX2-3","B2",3,10,30
"AX2-3-4","AX2-3","B2ca",4,30,50
"AX2-3-5","AX2-3","Ap",5,50,80
"AX2-3-6","AX2-3","Ap",6,80,100
"AX3-1-2","AX3-1","A1",2,5,10
"AX3-1-3","AX3-1","B2",3,10,30
"AX3-1-4","AX3-1","B2ca",4,30,50
"AX3-1-5","AX3-1","Ap",5,50,80
"AX3-1-6","AX3-1","A1",6,80,100
"AX3-2-1","AX3-2","B2",1,0,5
"AX3-2-2","AX3-2","B2ca",2,5,10
"AX3-2-4","AX3-2","Ap",4,30,50
"AX3-2-5","AX3-2","Ap",5,50,80
"AX3-2-6","AX3-2","A1",6,80,100
"AX3-3-1","AX3-3","B2",1,0,5
"AX3-3-2","AX3-3","B2ca",2,5,10
"AX3-3-4","AX3-3","Ap",4,30,50
"AX3-3-5","AX3-3","Ap",5,50,80
"AX3-3-6","AX3-3","A1",6,80,100
"AY1-1-1","AY1-1","B2",1,0,5
"AY1-1-2","AY1-1","B2ca",2,5,10
"AY2-1-2","AY2-1","A1",2,5,10
"AY2-1-3","AY2-1","B2",3,10,30
"AY2-1-4","AY2-1","B2ca",4,30,50
"AY2-1-5","AY2-1","Ap",5,50,80
"AY2-1-6","AY2-1","Ap",6,80,100
"AY2-2-2","AY2-2","A1",2,5,10
"AY2-2-3","AY2-2","B2",3,10,30
"AY2-2-4","AY2-2","B2ca",4,30,50
"AY2-2-5","AY2-2","Ap",5,50,80
"AY2-2-6","AY2-2","Ap",6,80,100
"AY2-3-2","AY2-3","A1",2,5,10
"AY2-3-3","AY2-3","B2",3,10,30
"AY2-3-4","AY2-3","B2ca",4,30,50
"AY2-3-5","AY2-3","Ap",5,50,80
"AY2-3-6","AY2-3","Ap",6,80,100
"AY3-1-2","AY3-1","A1",2,5,10
"AY3-1-3","AY3-1","B2",3,10,30
"AY3-1-4","AY3-1","B2ca",4,30,50
"AY3-1-5","AY3-1","Ap",5,50,80
"AY3-1-6","AY3-1","A1",6,80,100
"AY3-2-1","AY3-2","B2",1,0,5
"AY3-2-2","AY3-2","B2ca",2,5,10
"AY3-2-4","AY3-2","Ap",4,30,50
"AY3-2-5","AY3-2","Ap",5,50,80
"AY3-2-6","AY3-2","A1",6,80,100
"AY3-3-1","AY3-3","B2",1,0,5
"AY3-3-2","AY3-3","B2ca",2,5,10
"AY3-3-4","AY3-3","Ap",4,30,50
"AY3-3-5","AY3-3","Ap",5,50,80
"AY3-3-6","AY3-3","A1",6,80,100
"AZ1-1-1","AZ1-1","B2",1,0,5
"AZ1-1-2","AZ1-1","B2ca",2,5,10
"AZ1-1-4","AZ1-1","Ap",4,30,50
"AZ1-1-5","AZ1-1","Ap",5,50,80
"AZ1-1-6","AZ1-1","A1",6,80,100
"AZ1-2-1","AZ1-2","B2",1,0,5
"AZ1-2-2","AZ1-2","B2ca",2,5,10
